word,meaning,partOfSpeech,phonetic
"cigar","雪茄烟","n.","/si'ɡɑ:/"
"cinema","""""n.电影院;电影,影片""""","","/'sinəmə/"
"circle","""""n.圆,圆周;集团;周期,循环 v.环绕,旋转""""","","/'sə:kl/"
"circuit","""""n.环行,周线,巡回;电路,线路""""","","/'sə:kit/"
"circular","""""a.圆(形)的,环形的;循环的 n.传单,通报""""","","/'sə:kjulə/"
"circulate","""""v.(使)循环,(使)流通""""","","/'sə:kjuleit/"
"circumference","""""n.圆周,周围，胸围""""","","/sə'kʌmfərəns/"
"circus","""""n.马戏团,杂技团;马戏场,杂技场""""","","/'sə:kəs/"
"cite","""""v.引用,引证,举(例)""""","","/sait/"
"citizen","""""n.公民;市民,居民""""","","/'sitizən/"
"city","．城市；都市；市","n","/'siti/"
"civil","""""a.公民的,市民的;民间的;民用的;有礼貌的""""","","/'sivəl/"
"civilian","平民 a.平民的;民用的","n.","/si'viljən/"
"civilize","""""v.(=civilise)使文明,开化""""","","/'sivilaiz/"
"claim","要求;声称;索赔 n.要求;断言;索赔;权利","v.","/kleim/"
"clap","""""v.拍手,拍,轻拍 n.拍(手),掌声,霹雳声""""","","/klæp/"
"clarify","""""v.澄清,阐明""""","","/'klærifai/"
"clarity","""""n.清晰,明晰""""","","/'klærəti/"
"clash","/n.碰撞 n.碰撞声","v.","/klæʃ/"
"classic","""""n.(pl.)杰作,名著 a.第一流的,不朽的""""","","/'klæsik/"
"classical","""""a.经典的,古典(文学)的""""","","/'klæsikəl/"
"classify","""""v.分类,分等(级)""""","","/'klæsifai/"
"classmate","(名)同班同学","","/'klɑ:smeit/"
"classroom","教室，课堂","n.","/'klɑ:srum/"
"clause","""""n.(正式文件或法律文件的)条款;从句,分句""""","","/klɔ:z/"
"claw","""""n.爪,脚爪""""","","/klɔ:/"
"clay","""""n.粘土,泥土""""","","/klei/"
"clean","""""a.清洁的，干净的v.除去..污垢,把...弄干净""""","","/kli:n/"
"clear","/ad.清晰的(地)vt.清除；使清楚vi.变清澈","a.","/kliə/"
"clergy","[总称]牧师，神职人员","n.","/'klə:dʒi/"
"clever","""""a.聪明的,伶俐的,机敏的,精巧的""""","","/'klevə/"
"click","滴答声；vi.发出滴答声","n.","/klik/"
"client","律师等的当事人，委托人；商店的顾客","n.","/'klaiənt/"
"cliff","悬崖;峭壁","n.","/klif/"
"climate","""""n.气候;风气,社会思潮""""","","/'klaimit/"
"climax","""""n.顶点,高潮""""","","/'klaimæks/"
"climb","""""v./n.攀登,爬""""","","/klaim/"
"clinic","诊所","n.","/'klinik/"
"clip","""""v.剪,修剪;钳,夹住 n.夹,钳;回形针""""","","/klip/"
"cloak","斗蓬，披风；掩饰，幌子vt.掩盖，掩饰","n.","/kləuk/"
"clock","钟 vt.记录(时间、速度等)，为…计时","n.","/klɔk/"
"clockwise","顺时针方向","a.","/'klɔkwaiz/"
"clone","无性繁殖，克隆；复制品v.克隆","n.","/kləun/"
"close","/n.关；结束 a./ad.近的(地)；紧密的(地)","v.","/kləuz/"
"closet","(壁)橱a.私下的vt.把…引进密室会谈","n.","/'klɔzit/"
"clothe","""""v.(给…)穿衣,供给…衣服""""","","/kləuð/"
"clothes","衣服(虽为复数，亦不可数)","n.","/kləuðz/"
"clothing","""""n.服装,被褥""""","","/'kləuðiŋ/"
"cloud","""""n.云(状物);遮暗物,阴影;一大群""""","","/klaud/"
"cloudy","""""a.多云的,阴(天)的;混浊的,模糊的""""","","/'klaudi/"
"club","""""n.俱乐部,夜总会;社团;棍棒,球棒""""","","/klʌb/"
"clue","""""n.线索,暗示""""","","/klu:/"
"clumsy","""""a.笨拙的,愚笨的""""","","/'klʌmzi/"
"cluster","""""n.丛,群,串 v.群集,丛生""""","","/'klʌstə/"
"clutch","""""v.抓住,攫住,掌握 n.离合器""""","","/klʌtʃ/"
"coach","长途公共汽车；教练 vt.训练，指导，培训","n.","/kəutʃ/"
"coal","""""n.煤,煤块""""","","/kəul/"
"coarse","""""a.粗糙的,粗劣的;粗鲁的,粗俗的""""","","/kɔ:s/"
"coast","""""n.海岸,海滨""""","","/kəust/"
"coat","""""n.上衣，外套；表皮；层,覆盖物 v.涂(盖)上""""","","/kəut/"
"cocaine","可卡因，古柯碱（用作局部麻醉剂）","n.","/kə'kein/"
"cock","""""n.公鸡,雄鸡;龙头,开关""""","","/kɔk/"
"code","""""n.代码,代号,密码;法典,法规,规划""""","","/kəud/"
"coffee","咖啡(色)","n.","/'kɔfi/"
"cognitive","认知的，认识能力的","a.","/'kɔɡnitiv/"
"coherent","一致的，协调的；(话语等)条理清楚的","a.","/kəu'hiərənt/"
"cohesive","粘合性的，有结合力的","a.","/kəu'hi:siv/"
"coil","""""v.卷,盘绕 n.(一)卷,(一)圈;线圈,绕组""""","","/kɔil/"
"coin","""""n.硬币,货币 v.铸造(硬币),创造(新词)""""","","/kɔin/"
"coincidence","巧合；同时发生，共同存在；符合，一致","n.","/kəu'insidəns/"
"cold","冷的，寒冷的；冷淡的 n.冷，寒冷；伤风","a.","/kəuld/"
"collaborate","协作，合作；(与敌人)勾结","vi.","/kə'læbəreit/"
"collapse","/n.倒塌；崩溃；(价格)暴跌；倒闭，破产","v.","/kə'læps/"
"collar","衣领;环状物","n.","/'kɔlə/"
"colleague","""""n.同事,同僚""""","","/'kɔli:ɡ/"
"collect","""""v.收集,搜集;领取,接走;收(税等);聚集,堆积""""","","/kə'lekt/"
"collection","""""n.收藏(品),收集(物)""""","","/kə'lekʃən/"
"collective","""""n.集体 a.集体的,共同的""""","","/kə'lektiv/"
"college","""""n.学院,高等专科学校,大学""""","","/'kɔlidʒ/"
"collide","[with]互撞，碰撞；冲突，抵触","vi.","/kə'laid/"
"collision","碰撞；(利益，意见等的)冲突，抵触","n.","/kə'liʒən/"
"colonel","(陆军)上校","n.","/'kə:nəl/"
"colonial","殖民地的，关于殖民的 n.殖民地居民","a.","/kə'ləunjəl/"
"colony","殖民地；侨民；聚居区；(动植物的)群体","n.","/'kɔləni/"
"color","(=colour)颜色；颜料；肤色 v.给…着色","n.","/'kʌlə/"
"column","""""n.圆柱,柱状物;列;(报刊中的)专栏""""","","/'kɔləm/"
"comb","梳子 v.梳(理)","n.","/kəum/"
"combine","联合；结合；化合 n.集团；联合企业","v.","/kəm'bain/"
"come","来；出现于，产生；是，成为；开始，终于","v.","/kʌm/"
"comedy","喜剧;喜剧性事件","n.","/'kɔmidi/"
"comfort","舒适，安逸；安慰，慰问 v.安慰，使舒适","n.","/'kʌmfət/"
"comfortable","舒适的，舒服的；感到舒适的，安逸的","a.","/'kʌmfətəbl/"
"comic","喜剧的，滑稽的n.连环漫画杂志；喜剧演员","a.","/'kɔmik/"
"command","/v.命令，指挥，控制 n.掌握，运用能力","n.","/kə'mɑ:nd/"
"commemorate","纪念，庆祝","vt.","/kə'meməreit/"
"commence","开始 vi.获得学位","vt.","/kə'mens/"
"commend","称赞，表扬：委托保管；推荐","v.","/kə'mend/"
"comment","""""n.注释,评论,意见 v.(on)注释,评论""""","","/'kɔment/"
"commerce","商业，贸易；交际，交往","n.","/'kɔmə:s/"
"commercial","商业的；商务的；可获利的 n.广告节目","a.","/kə'mə:ʃəl/"
"commission","""""n.委员会;委任,委托(书),代办;佣金,手续费""""","","/kə'miʃən/"
"commit","""""v.把…交托给,提交;犯(错误),干(坏事)""""","","/kə'mit/"
"committee","""""n.委员会,全体委员""""","","/kə'miti/"
"commodity","(pl.)日用品；商品；农/矿产品；有用之物","n.","/kə'mɔditi/"
"common","普通的；共同的；一般的；n.公有地","a.","/'kɔmən/"
"commonplace","普通的，平庸的n.寻常的事物，平庸的东西","a.","/'kɔmənpleis/"
"commonwealth","""""n.共和国,联邦,共同体""""","","/'kɔmənwelθ/"
"communicate","""""v.传达,传送;交流;通讯,通话""""","","/kə'mju:nikeit/"
"communism","共产主义","n.","/'kɔmjunizəm/"
"community","""""n.同一地区的全体居民,社会,社区;共同体""""","","/kə'mju:niti/"
"commute","""""v.乘公交车上下班,乘车(船等)往返于两地""""","","/kə'mju:t/"
"compact","""""a.紧密的,结实的;简明的 v.使紧凑,压缩""""","","/kəm'pækt/"
"companion","""""n.同伴,共事者;伴侣""""","","/kəm'pænjən/"
"company","""""n.公司;陪伴;宾客;连(队),(一)群,队,伙""""","","/'kɔmpəni/"
"comparable","""""a.(with,to)可比较的,比得上的""""","","/'kɔmpərəbl/"
"comparative","""""a.比较的,相当的""""","","/kəm'pærətiv/"
"compare","(to，with)比较；(to)把…比作vi.相比","vt.","/kəm'pεə/"
"comparison","""""n.比较,对比,比喻,比拟""""","","/kəm'pærisən/"
"compartment","""""n.卧车包房,(客车车厢内的)隔间;分隔的空间""""","","/kəm'pɑ:tmənt/"
"compass","""""n.罗盘,指南针;(pl.)圆规""""","","/'kʌmpəs/"
"compassion","同情；怜悯(for)","n.","/kəm'pæʃən/"
"compatible","""""a.能和睦相处的,合得来的;兼容的""""","","/kəm'pætəbl/"
"compel","""""v.强迫,迫使""""","","/kəm'pel/"
"compensate","""""v.(for)补偿,赔偿""""","","/'kɔmpenseit/"
"compete","比赛；竞争；对抗","vi.","/kəm'pi:t/"
"competent","有能力的，能胜任的；足够的","a.","/'kɔmpitənt/"
"competitive","竞争的；好竞争的；(价格等的)有竞争力的","a.","/kəm'petitiv/"
"compile","编辑，编制，搜集","vt.","/kəm'pail/"
"complain","""""v.(about,of)抱怨;申诉""""","","/kəm'plein/"
"complaint","抱怨，诉苦，怨言，控告；疾病","n.","/kəm'pleint/"
"complement","补足物，船上的定员；补语 vt.补充，补足","n.","/'kɔmplimənt/"
"complete","""""a.完全的,圆满的 v.完成,结束,使完满""""","","/kəm'pli:t/"
"complex","""""a.复杂的;合成的,综合的 n.联合体""""","","/'kɔmpleks/"
"complicate","使..复杂；使..难懂；使（疾病等）恶化；","v.","/'kɔmplikeit/"
"complicated","""""a.错综复杂的,麻烦的,难解的""""","","/'kɔmplikeitid/"
"compliment","""""n.(pl.)问候,致意 n./v.称赞,恭维""""","","/'kɔmplimənt/"
"comply","(with)遵照，照做，应允；顺从，服从","v.","/kəm'plai/"
"component","""""n.组成部分,成分,元件 a.组成的,合成的""""","","/kəm'pəunənt/"
"compose","""""v.组成,构成;(of)由…组成;创作(诗歌等)""""","","/kəm'pəuz/"
"composite","混合成的，综合成的n.合成物，复合材料","a.","/'kɔmpəzit/"
"compound","""""n.混合物,化合物 a.混合的,化合的；vt.混合""""","","/'kɔmpaund/"
"comprise","包含，包括，由...组成；构成，组成","vt.","/kəm'praiz/"
"compromise","妥协，折衷vi.妥协vt.危及，放弃(原则等)","n.","/'kɔmprəmaiz/"
"compulsory","必须做的，强制性的，(课程)必修的","a.","/kəm'pʌlsəri/"
"compute","""""v./n.计算,估计""""","","/kəm'pju:t/"
"computer","""""n.计算机,电脑;计算者""""","","/kəm'pju:tə/"
"comrade","""""n.同志,同事,同伴,朋友""""","","/'kɔmrid/"
"conceal","""""v.隐藏,隐瞒,隐蔽""""","","/kən'si:l/"
"concede","承认；容许；(比赛结束前)认输；退让","vt.","/kən'si:d/"
"conceive","""""v.(of)设想,构思,想象;以为;怀胎,怀有""""","","/kən'si:v/"
"concentrate","""""v.(on)集中,专心;浓缩 n.浓缩物""""","","/'kɔnsəntreit/"
"concept","概念，观念，设想","n.","/'kɔnsept/"
"concern","""""v.涉及,关系到 v./n.关心 n.(利害)关系""""","","/kən'sə:n/"
"concerning","关于，论及","prep.","/kən'sə:niŋ/"
"concession","让步，妥协；特许(权)；","n.","/kən'seʃən/"
"concise","""""a.简明的,简洁的""""","","/kən'sais/"
"conclude","""""v.结束,终止;断定,下结论;缔结,议定""""","","/kən'klu:d/"
"conclusion","结论，推论；结尾；缔结，议定","n.","/kən'klu:ʒən/"
"condemn","""""v.谴责,指责;判刑,宣告有罪""""","","/kən'dem/"
"condense","(使)冷凝，(使)凝结；浓缩，压缩，简缩","v.","/kən'dens/"
"condition","条件，状况，环境 vt.决定；支配；训练","n.","/kən'diʃən/"
"conductor","管理者；(汽车)售票员；领队，指挥；导体","n.","/kən'dʌktə/"
"confer","商讨；授予，颁给(勋衔，学位等)","v.","/kən'fə:/"
"conference","(正式)会议；讨论，商谈","n.","/'kɔnfərəns/"
"confess","供认，承认，坦白，忏悔","v.","/kən'fes/"
"confidence","""""n.(in)信任;信心,自信;秘密,机密""""","","/'kɔnfidəns/"
"confident","""""n.(of,in)确信的,自信的""""","","/'kɔnfidənt/"
"confirm","""""v.使更坚固,使更坚定;(进一步)证实;确认""""","","/kən'fə:m/"
"conform","(to)遵守，适应；相似，一致，符合","vi.","/kən'fɔ:m/"
"confront","""""v.使面临,使遭遇;面对(危险等)""""","","/kən'frʌnt/"
"confuse","""""v.使混乱,混淆""""","","/kən'fju:z/"
"confusion","困惑，糊涂；混淆；混乱，骚乱","n.","/kən'fju:ʒən/"
"conjunction","接合，连接，联合；连(接)词","n.","/kən'dʒʌŋkʃən/"
"connect","连接；与…联系，接通(电话) vi.连接","vt.","/kə'nekt/"
"connection","""""n.(connexion)联系,连接；亲戚，社会关系""""","","/kə'nekʃən/"
"conquer","""""v.征服,战胜,占领;克服,破除(坏习惯等)""""","","/'kɔŋkə/"
"conquest","征服，征服地，掠取物","n.","/'kɔŋkwest/"
"conscience","""""n.良心,良知""""","","/'kɔnʃəns/"
"conscious","""""a.(of)意识到的,自觉的;神志清醒的""""","","/'kɔnʃəs/"
"consecutive","连续的；连贯的；顺序的","a.","/kən'sekjutiv/"
"consensus","(意见等的)一致，一致同意，共识","n.","/kən'sensəs/"
"consent","""""v./n.(to)同意,赞成,答应""""","","/kən'sent/"
"conservative","""""a.保守的,守旧的 n.保守主义者""""","","/kən'sə:vətiv/"
"consider","考虑，细想；体谅，顾及；认为，把…看作","v.","/kən'sidə/"
"considerable","""""a.相当大(或多)的,可观的;值得考虑的""""","","/kən'sidərəbl/"
"consist","""""v.(in)在于,存在于;(of)由…组成,由…构成""""","","/kən'sist/"
"consistent","(in)前后一致的；（with）一致，符合","a.","/kən'sistənt/"
"console","控制台，仪表板；落地柜 vt.安慰，慰问","n.","/kən'səul/"
"consolidate","使加固，使加强；(把...)联为一体，合并","v.","/kən'sɔlideit/"
"conspicuous","""""a.显眼的,明显的""""","","/kən'spikjuəs/"
"conspiracy","阴谋，密谋，共谋","n.","/kən'spirəsi/"
"constant","""""a.固定的，持续的,忠实的 n.常数,恒量""""","","/'kɔnstənt/"
"constituent","选民；成分，组分a.组成的，构成的","n.","/kən'stitjuənt/"
"constitute","组成，构成，形成；设立，建立，任命","vt.","/'kɔnstitju:t/"
"constrain","限制，约束；克制，抑制","vt.","/kən'strein/"
"construct","""""v.建设,建造,构造;创立""""","","/kən'strʌkt/"
"construction","建造，构造；建筑物，结构；释义，解释","n.","/kən'strʌkʃən/"
"consultant","""""n.会诊医师,顾问医生;顾问""""","","/kən'sʌltənt/"
"consume","消耗；吃完，喝光；(with)使着迷；烧毁","vt.","/kən'sju:m/"
"consumption","""""n.消费(量),消耗""""","","/kən'sʌmpʃən/"
"contain","包含，容纳；容忍，抑制；可被...除尽","v.","/kən'tein/"
"container","容器;集装箱","n.","/kən'teinə/"
"contemporary","""""a.现代的,当代的;同时代的""""","","/kən'tempərəri/"
"contempt","轻视，藐视；受辱，丢脸","n.","/kən'tempt/"
"contend","""""v.竞争,斗争;坚决主张""""","","/kən'tend/"
"content","""""n.容量,内容,(pl.)目录 a.(with)满足的""""","","/'kɔntent/"
"context","（文章等）前后关系；(事件等发生的)背景","n.","/'kɔntekst/"
"continent","""""n.大陆,洲""""","","/'kɔntinənt/"
"continual","""""a.不断的,连续的,频繁的""""","","/kən'tinjuəl/"
"continue","""""v.继续,连续,延伸""""","","/kən'tinju:/"
"continuous","""""a.连续的,持续的""""","","/kən'tinjuəs/"
"contrary","""""a.(to)相反的,矛盾的 n.反对,矛盾;相反""""","","/'kɔntrəri/"
"contribute","""""v.(to)贡献,捐助,捐献;投稿""""","","/kən'tribju:t/"
"contrive","谋划，策划；设法做到；设计，想出","vt.","/kən'traiv/"
"control","""""n.(over)控制,支配 v.控制,支配""""","","/kən'trəul/"
"convenience","""""n.便利,方便;(pl.)便利设备""""","","/kən'vi:njəns/"
"convenient","""""a.(to)便利的,方便的""""","","/kən'vi:njənt/"
"convention","""""n.大会,会议;惯例,常规,习俗;公约,协定""""","","/kən'venʃən/"
"conventional","""""a.惯例的,常规的""""","","/kən'venʃənəl/"
"conversion","转变，转换；信仰的改变；","n.","/kən'və:ʃən/"
"convert","""""v.变换,转换；改变（信仰等）；兑换（钱）""""","","/kən'və:t/"
"convey","""""v.运送,搬运,转运;传达,传播""""","","/kən'vei/"
"convict","""""v.(经审讯)证明…有罪,宣判…有罪 n.囚犯""""","","/kən'vikt/"
"conviction","""""n.深信,确信；定罪，判罪；""""","","/kən'vikʃən/"
"convince","""""v.(of)使信服,使确信""""","","/kən'vins/"
"cook","厨师 v.烹调，烧煮；纂改(账目)，捏造","n.","/kuk/"
"cool","凉的；冷静的 n.凉快 ad.冷静地 v.使变凉","a.","/ku:l/"
"cooperate","""""v.(with)合作,协作,相配合""""","","/kəu'ɔpəreit/"
"cooperative","""""a.合作的,协作的 n.合作社""""","","/kəu'ɔpərətiv/"
"coordinate","""""a.同等的,并列的;坐标的 n.坐标""""","","/kəu'ɔ:dineit/"
"coordinates","""""a.同等的 n.同等者,坐标 vt.协作，协调""""","","/kəu'ɔ:dineits/"
"cope","""""v.(with)竞争,对抗;(with)对付,妥善处理""""","","/kəup/"
"copper","""""n.铜;铜币,铜制器""""","","/'kɔpə/"
"copy","抄本，摹本；(一)本 vt.抄写；考试中抄袭","n.","/'kɔpi/"
"cord","""""n.绳,索""""","","/kɔ:d/"
"cordial","""""a.诚恳的,亲切的,热诚的""""","","/'kɔ:djəl/"
"core","""""n.果核;中心,核心""""","","/kɔ:/"
"corn","""""n.谷物,庄稼,玉米""""","","/kɔ:n/"
"corner","角，街角；偏僻处； vt.将…逼入困境；","n.","/'kɔ:nə/"
"correct","""""a.正确的,恰当的,端正的 v.改正,纠正,矫正""""","","/kə'rekt/"
"corridor","""""n.走廊,通道""""","","/'kɔridɔ:/"
"corrode","""""v.(受)腐蚀,侵蚀""""","","/kə'rəud/"
"corrupt","""""v.贿赂,收买 a.腐败的,贪污的""""","","/kə'rʌpt/"
"cosmic","宇宙的；无比巨大的，无穷尽的","a.","/'kɔzmik/"
"cost","""""n.成本,费用,代价 v.价值为,花费""""","","/kɔst/"
"costly","""""a.昂贵的,价值高的,豪华的""""","","/'kɔstli/"
"cosy","暖和舒服的；舒适的 [反]uncomfortable","a.","/'kəuzi/"
"cottage","""""n.村舍,小屋,别墅""""","","/'kɔtidʒ/"
"cotton","""""n.棉花;棉线,棉纱;棉制品""""","","/'kɔtən/"
"couch","长沙发；(病人躺的)长榻vt.表达","n.","/kautʃ/"
"cough","/n.咳嗽","v.","/kɔ:f/"
"council","""""n.理事会,委员会,议事机构""""","","/'kaunsəl/"
"counsel","""""v./n.劝告,忠告 n.法律顾问,辩护人""""","","/'kaunsəl/"
"count","""""v.数,计算;算入;看作,认为 n.计数,总数""""","","/kaunt/"
"counter","""""n.柜台;计数器 a./ad.相反(的) v.反对,反击""""","","/'kauntə/"
"country","""""n.国家;农村,乡下""""","","/'kʌntri/"
"county","""""n.(英国)郡,(美国)县""""","","/'kaunti/"
"couple","""""n.(一)对,双;夫妇; v.连接,结合""""","","/'kʌpl/"
"coupon","证明持券人有某种权利的卡片，票证，赠券","n.","/'ku:pɔn/"
"courage","""""n.勇气,胆量""""","","/'kʌridʒ/"
"course","""""n.课程,教程;过程,进程;路程,路线;一道菜""""","","/kɔ:s/"
"court","""""n.法院,法庭;宫廷,朝廷;院子;球场""""","","/kɔ:t/"
"courtesy","谦恭有礼;有礼貌的举止(或言词)","n.","/'kə:tisi/"
"cousin","""""n.堂(或表)兄弟,堂(或表)姐妹""""","","/'kʌzən/"
"cover","""""v.覆盖,包括,涉及 n.盖子,套子;(书的)封面""""","","/'kʌvə/"
"cow","""""n.母牛,奶牛""""","","/kau/"
"coward","""""n.懦夫,胆怯者""""","","/'kauəd/"
"crab","""""n.螃蟹,蟹肉""""","","/kræb/"
"crack","""""n.裂纹,缝隙;破裂声 v.(使)破裂,砸开""""","","/kræk/"
"cradle","摇篮;发源地","n.","/'kreidl/"
"crane","""""n.起重机,鹤""""","","/krein/"
"crash","""""v./n.碰撞,坠落,摔坏 n.失败,瓦解;爆裂声""""","","/kræʃ/"
"crawl","""""v./n.爬行,蠕动;缓慢(的)行进""""","","/krɔ:l/"
"crazy","""""a.疯狂的,古怪的,蠢的;(about)狂热的""""","","/'kreizi/"
"cream","""""n.乳脂,(鲜)奶油;奶油色""""","","/kri:m/"
"create","""""v.创造,创作;引起,造成,建立""""","","/kri'eit/"
"creative","""""a.有创造力的,创造性的""""","","/kri'eitiv/"
"creature","""""n.人,动物;生物""""","","/'kri:tʃə/"
"credential","凭证，(pl.)国书，证明书","n.","/kri'denʃəl/"
"credit","""""v./n.信用,信任 n.信用贷款,赊欠;名誉,名望""""","","/'kredit/"
"creep","""""v.爬,爬行;(植物)蔓延""""","","/kri:p/"
"crew","""""n.全体船员,全体乘务员""""","","/kru:/"
"cricket","板球;蟋蟀","n.","/'krikit/"
"crime","""""n.罪行,犯罪""""","","/kraim/"
"criminal","""""n.罪犯,刑事犯 a.犯罪的,刑事的""""","","/'kriminəl/"
"cripple","""""n.跛子,残疾人 v.使跛,使残疾""""","","/'kripl/"
"crisis","""""n.(pl.crises)危机,紧要关头""""","","/'kraisis/"
"crisp","""""a.脆的,易碎的;简明扼要的；（空气）清爽的""""","","/krisp/"
"criterion","(pl.criteria或criterions)标准，尺度","n.","/krai'tiəriən/"
"critic","""""n.批评家,评论家""""","","/'kritik/"
"critical","""""a.批评的,评论的;危急,紧要的;临界的""""","","/'kritikəl/"
"crop","""""n.作物,庄稼;(谷类等的)一熟收成;一批,大量""""","","/krɔp/"
"cross","十字(架)；苦难 a.交叉的；发怒的 v.穿过","n.","/krɔ:s/"
"crowd","""""n.人群;一群,一伙 v.聚集,群集;挤满,拥挤""""","","/kraud/"
"crown","""""n.王冠,冕;君权,君王 v.为…加冕""""","","/kraun/"
"crucial","""""a.至关重要的,决定性的""""","","/'kru:ʃəl/"
"crude","""""a.天然的,未加工的;未熟的;粗鲁的,粗野的""""","","/kru:d/"
"cruel","""""a.残忍的,残酷的""""","","/'kru:əl/"
"cruise","巡航；以节省燃料的速度前进 n.乘船巡游","v.","/kru:z/"
"crush","""""n./v.压碎,压坏 v.压服,压垮""""","","/krʌʃ/"
"crust","""""n.外皮,壳;地壳""""","","/krʌst/"
"cry","叫，喊，哭；(鸟兽)叫，啼，鸣，嗥","n.&v.","/krai/"
"crystal","""""n.水晶,水晶饰品;结晶 a.水晶的,透明的""""","","/'kristəl/"
"cube","""""n.立方形,立方体;立方,三次幂""""","","/kju:b/"
"cucumber","黄瓜","n.","/'kju:kʌmbə/"
"cue","""""暗示, 提示, 球杆""""","","/kju:/"
"cultivate","""""v.耕作,栽培,养殖;培养,教养,磨炼""""","","/'kʌltiveit/"
"culture","""""n.文化,文明;修养;耕种；栽培,培育;""""","","/'kʌltʃə/"
"cunning","""""a./n.狡猾(的),狡诈(的)""""","","/'kʌniŋ/"
"cup","杯子；奖杯，优胜杯；(一)杯，一杯的容量","n.","/kʌp/"
"cupboard","""""n.碗柜,小橱""""","","/'kʌbəd/"
"curb","路边，场外证券市场，vt.制止，抑制","n.","/kə:b/"
"cure","""""v.(of)治愈,医治;矫正 n.治愈,痊愈;良药""""","","/kjuə/"
"curious","""""a.好奇的, 求知的, 古怪的, 爱挑剔的""""","","/'kjuəriəs/"
"curl","""""v.(使)卷曲,蜷缩 n.卷发;卷曲状;卷曲物""""","","/kə:l/"
"currency","""""n.流传,流通；通货,货币""""","","/'kərənsi/"
"current","""""n.电流,水流;潮流,趋势 a.当前的;流通的""""","","/'kʌrənt/"
"curriculum","""""n.(pl.curricula)课程,(学校等的)全部课程""""","","/kə'rikjuləm/"
"curse","""""n.诅咒,咒语,祸因 vt.诅咒,咒骂,使受罪""""","","/kə:s/"
"curtain","""""n.窗帘,门帘;幕(布);结束； vt遮掩""""","","/'kə:tən/"
"curve","""""n.曲线,弯曲(物) v.弄弯,成曲形""""","","/kə:v/"
"cushion","""""n.垫子,软垫 vt.装垫子;缓和,减轻;""""","","/'kuʃən/"
"custom","""""n.习惯,风俗,惯例;(pl.)海关,关税""""","","/'kʌstəm/"
"customer","""""n.顾客,主顾""""","","/'kʌstəmə/"
"cut","/v.切，割，削;削减，删节 n.切口，伤口","n.","/kʌt/"
"cycle","""""n.自行车;周期,循环 v.骑自行车;循环""""","","/'saikl/"
"cylinder","""""n.圆筒,圆锥体;汽缸""""","","/'silində/"
"daily","""""a.每日的 ad.每日,天天 n.日报""""","","/'deili/"
"dairy","""""n.牛奶场,奶店""""","","/'dεəri/"
"dam","""""n.水坝,水闸""""","","/dæm/"
"damage","""""v./n.损害,毁坏 n.(pl.)损害赔偿费""""","","/'dæmidʒ/"
"damn","该死 vt.遣责；使失败 a.十足的 ad.极","int.","/dæm/"
"damp","潮湿 a.潮湿的 vt.使潮湿;使衰减","n.","/dæmp/"
"danger","危险;威胁;危险事物","n.","/'deindʒə/"
"dangerous","危险的，不安全的","a.","/'deindʒərəs/"
"dare","""""v.敢,胆敢""""","","/dεə/"
"dark","黑暗的，深(色)的；隐秘的；n.无光，黑暗","a.","/'dɑ:k/"
"darling","""""n.心爱的人,亲爱的""""","","/'dɑ:liŋ/"
"dash","""""v./n.冲,猛冲,突进 n.破折号""""","","/dæʃ/"
"data","(datum的复数)资料，数据","n.","/'deitə/"
"database","(databank)数据库","n.","/'deitəbeis/"
"date","""""n.日期,年代 v.注明…的日期 n./v.约会""""","","/deit/"
"daughter","女儿","n.","/'dɔ:tə/"
"dawn","""""n.黎明,拂晓 v.破晓;开始现出""""","","/dɔ:n/"
"day","天，一昼夜；白昼，白天；时期，时代","n.","/dei/"
"daylight","""""n.日光,白昼,黎明""""","","/'deilait/"
"daytime","""""n.白天,日间""""","","/'deitaim/"
"dazzle","""""v.使惊奇,使倾斜;耀(眼) n.耀眼的光""""","","/'dæzl/"
"dead","死的；无生命的；死气沉沉的 ad.完全地","a.","/ded/"
"deadline","最后期限","n.","/'dedlain/"
"deadly","致命的;势不两立的; 极度的;必定的","a.","/'dedli/"
"deaf","聋的;不愿听的","a.","/def/"
"deal","""""v.处理;做买卖,经营;分配;对待  n.交易""""","","/di:l/"
"dealer","商人","n.","/'di:lə/"
"dear","昂贵的；亲爱的；珍贵的  int.呵！哎呀！","a.","/diə/"
"death","死，死亡；灭亡，毁灭，死因","n.","/deθ/"
"debate","""""v./n.争论,辩论""""","","/di'beit/"
"debt","""""n.债,债务""""","","/det/"
"decade","十年","n.","/'dekeid/"
"decay","""""v./n.腐朽,腐烂;衰减,衰退""""","","/di'kei/"
"deceit","""""n.欺骗,欺骗行为""""","","/di'si:t/"
"deceive","""""v.欺骗,蒙蔽""""","","/di'si:v/"
"decent","""""a.体面的;正派的,合乎礼仪的;合适的""""","","/'di:sənt/"
"decide","""""v.决定,下决心;解决,裁决""""","","/di'said/"
"decimal","""""a.十进的,小数的,十进制的 n.小数""""","","/'desiməl/"
"decision","""""n.决定,决心;决议;决策""""","","/di'siʒən/"
"decisive","决定性的","a.","/di'saisiv/"
"deck","甲板","n.","/dek/"
"declare","""""v.宣布,宣告,声明;断言,宣称""""","","/di'klεə/"
"decline","""""v.下降,衰落;拒绝 n.下降;斜面,倾斜,衰落""""","","/di'klain/"
"decorate","""""v.装饰,装璜,布置""""","","/'dekəreit/"
